"Sr. No","REG No","REGISTRATION Type","REGISTRATION DATE","COMPLAINT TYPE","ZONE","Circle","WARD","LOCATION","STATUS","CITIZEN NAME","CITIZEN CONTACT No","Citizen Email Id","Complaint Address","COMPLAINT CLOSURE ON","ACTION REMARKS","ACTION"
"1","COMP/0000000072","Call","2024-06-04","QR Code is not working","Rohini Zone","R-Cluster 2","Naharpur","delhi","CLOSED","resl","6666666666","resl@re.com","delhi","04-06-2024 11:44:00 AM","complaint solved",""
"2","COMP/0000000071","Call","2024-06-04","QR Code is not working","Rohini Zone","R-Cluster 4","Rani Bagh","delhi","CLOSED","resustainability","9989990066","resus@re.com","delhi","04-06-2024 11:38:00 AM","complaint issue is solved",""
"3","COMP/0000000070","Call","2024-06-04","QR Code is not working","Rohini Zone","R-Cluster 4","Saraswati Vihar","sdfghj123","CLOSED","dharmendra","9494092686","","sdfghj123","04-06-2024 11:25:00 AM","12345",""
"4","COMP/0000000069","Letter","2024-06-04","QR Code is not working","Keshava Puram Zone","C-Cluster 2","Sangam Park","zxcvbnm","CLOSED","Godavari","7777777777","some@gmail.com","zxcvbnm","04-06-2024 11:19:00 AM","asdfghjk",""
"5","COMP/0000000068","Call","2024-06-04","QR Code is not working","Civil Lines Zone","C-Cluster 5","Nimrai Colony","jhgfds1234","CLOSED","Godavari","2222222222","yamuna@gmail.com","jhgfds1234","04-06-2024 11:01:00 AM","1234",""
"6","COMP/0000000066","Call","2024-06-04","QR Code is not working","Rohini Zone","R-Cluster 2","Naharpur","hgfdsa1","CLOSED","Yamuna","9999999999","yamuna@gmail.com","hgfdsa1","04-06-2024 10:49:00 AM","dfghjkl1",""
"7","COMP/0000000065","Letter","2024-06-03","QR Code is not working","Rohini Zone","R-Cluster 2","Naharpur","jhgfds","CLOSED","Ramky","6666666666","ramky@re.com","jhgfds","03-06-2024 10:47:00 PM","1234t134",""
"8","COMP/0000000057","Letter","2024-06-03","QR Code is not working","Rohini Zone","R-Cluster 2","Naharpur","lkjhg","CLOSED","RESL","9999999999","reee@resus.com","lkjhg","03-06-2024 07:01:00 PM","uma mahesh",""
"9","COMP/0000000056","Call","2024-06-03","QR Code is not working","Rohini Zone","R-Cluster 4","Pritampur North","address","CLOSED","dharmendra","9494092686","","address","03-06-2024 07:17:00 PM","12345",""
"10","COMP/0000000054","Call","2024-06-03","QR Code is not working","Civil Lines Zone","C-Cluster 5","Nimrai Colony","xcvbnm,","CLOSED","reee","7777777777","reee@resus.com","xcvbnm,","03-06-2024 12:33:00 PM","",""
"11","COMP/0000000053","Letter","2024-06-03","QR Code is not working","Rohini Zone","R-Cluster 4","Saraswati Vihar","zxcvbnjmk,.","CLOSED","Someone3","9999999999","some3@gmail.com","zxcvbnjmk,.","03-06-2024 12:34:00 PM","",""
"12","COMP/0000000050","Select","2024-06-03","QR Code is not working","Keshava Puram Zone","C-Cluster 5","Wazirpur","qwsdfv","CLOSED","resl1","3333333333","resl@gmail.com","qwsdfv","03-06-2024 10:08:00 AM","",""
"13","COMP/0000000049","Call","2024-06-01","QR Code is not working","Keshava Puram Zone","R-Cluster 4","Shakarpur","sdfghjk","CLOSED","resl","3333333333","resl@gmail.com","sdfghjk","03-06-2024 11:49:00 AM","",""
"14","COMP/0000000048","Letter","2024-06-12","QR Code is not working","Rohini Zone","R-Cluster 4","Pritampur North","456","CLOSED","RESL","2222222222","resl@gmail.com","456","01-06-2024 04:02:00 PM","",""
"15","COMP/0000000047","Call","2024-06-01","QR Code is not working","Civil Lines Zone","C-Cluster 5","Kohat Enclave","hjfyuj","CLOSED","RESL","2222222222","resl@gmail.com","hjfyuj","03-06-2024 11:35:00 AM","",""
"16","COMP/0000000046","Letter","2024-05-31","QR Code is not working","Keshava Puram Zone","C-Cluster 5","Tri Nagar","jgjgk","CLOSED","Someone","9494092686","","jgjgk","31-05-2024 05:25:00 PM","",""
"17","COMP/0000000045","Call","2024-05-20","QR Code is not working","Civil Lines Zone","C-Cluster 3","Burari","svasaefw","CLOSED","Someone","8919872820","uma@gmail.com","svasaefw","01-06-2024 03:08:00 PM","",""
"18","COMP/0000000044","Letter","2024-05-13","QR Code is not working","Rohini Zone","R-Cluster 1","Rohini North","sefwrgr","CLOSED","Yamuna","2222222222","yamuna@gmail.com","sefwrgr","03-06-2024 11:22:00 AM","",""
"19","COMP/0000000042","Letter","2024-05-29","QR Code is not working","Rohini Zone","R-Cluster 4","Shalimarbagh North","Hyderabad","CLOSED","Uma Maheswara","9494092686","uma@gmail.com","Hyderabad","31-05-2024 04:27:00 PM","",""
"20","COMP/0000000041","Call","2024-05-07","QR Code is not working","Keshava Puram Zone","C-Cluster 5","Wazirpur","sfhj","CLOSED","SOMEONE","9932199321","umamaheswara2016@gmail.com","sfhj","31-05-2024 03:20:00 PM","",""
"21","COMP/0000000040","Letter","2024-05-12","QR Code is not working","Civil Lines Zone","C-Cluster 2","Kalampur","dbdfbdrb","CLOSED","harsha761","4444444444","umamaheswara2016@gmail.com","dbdfbdrb","24-05-2024 05:13:00 PM","",""
"22","COMP/0000000039","Letter","2024-05-24","QR Code is not working","Civil Lines Zone","C-Cluster 3","Kadipur","delhi","CLOSED","hasini","4444444444","hasini@gmail.com","delhi","24-05-2024 02:17:00 PM","",""
"23","COMP/0000000038","Letter","2024-05-24","QR Code is not working","Rohini Zone","Paschim Vihar","41-42","delhi","CLOSED","hasini","9911991199","hasini123@gmail.com","delhi","24-05-2024 12:16:00 PM","asdfghjkl",""
