RowNumber,TotalCount,SComplaintId,ComplaintType,ComplaintOn,Complaintcode,Location,TStationName,TSType,Remarks,RegistrationDate,RegistrationType,FLat,FLng,FAddress,CLat,CLng,CAddress,ModeOfReporting,PredefinedSLADuration,Status,IsClosed,CreatedBy,ClosedBy,CRemarks,ClosedOn,TotalTimeTaken,FolderName,WardName,ZoneName,CircleName,ComplaintName,ComplaintContactNumber,citizen_email,FImgUrl,CImgUrl
1,87,4261,QR Code is not working,04-06-2024 12:34:00 PM,COMP/0000000073,HYD,Waheed Nagar,SCTP,garbage bin is broken,2024-06-04,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 12:34:00 PM,0:00,,Sangam Park,Keshava Puram Zone,C-Cluster 2,helloworld,8888888888,hi@gmail.com,,
2,87,4260,QR Code is not working,04-06-2024 11:44:00 AM,COMP/0000000072,delhi,Waheed Nagar,SCTP,complaint ,2024-06-04,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 11:44:00 AM,0:00,,Naharpur,Rohini Zone,R-Cluster 2,resl,6666666666,resl@re.com,,
3,87,4259,QR Code is not working,04-06-2024 11:38:00 AM,COMP/0000000071,delhi,Waheed Nagar,SCTP,complaint,2024-06-04,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 11:38:00 AM,0:00,,Rani Bagh,Rohini Zone,R-Cluster 4,resustainability,9989990066,resus@re.com,,
4,87,4258,QR Code is not working,04-06-2024 11:25:00 AM,COMP/0000000070,sdfghj123,Waheed Nagar,SCTP,sdfghj,2024-06-04,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 11:25:00 AM,0:00,,Saraswati Vihar,Rohini Zone,R-Cluster 4,dharmendra,9494092686,,,
5,87,4257,QR Code is not working,04-06-2024 11:19:00 AM,COMP/0000000069,zxcvbnm,Waheed Nagar,SCTP,asdfghj,2024-06-04,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 11:19:00 AM,0:00,D:\\LOCAL-Test\\project-hyd\\HYDSWM\\HYDSWM\\wwwroot\\ViewJs\\Complaint\\uploads\\download.png,Sangam Park,Keshava Puram Zone,C-Cluster 2,Godavari,7777777777,some@gmail.com,,
6,87,4256,QR Code is not working,04-06-2024 11:01:00 AM,COMP/0000000068,jhgfds1234,Waheed Nagar,SCTP,asdfgh,2024-06-04,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 11:01:00 AM,0:00,D:\\LOCAL-Test\\project-hyd\\HYDSWM\\HYDSWM\\wwwroot\\ViewJs\\Complaint\\uploads\\download8.jpg,Nimrai Colony,Civil Lines Zone,C-Cluster 5,Godavari,2222222222,yamuna@gmail.com,,
7,87,4255,QR Code is not working,04-06-2024 02:23:00 PM,COMP/0000000067,zxcvbnm1234578911,Waheed Nagar,SCTP,zxcvbnm,,2024-06-04,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 02:23:00 PM,0:00,uploads/,Vijay Vihar,Rohini Zone,R-Cluster 1,manu,5555555555,resl@gmail.com,,
8,87,4254,QR Code is not working,04-06-2024 10:49:00 AM,COMP/0000000066,hgfdsa1,Waheed Nagar,SCTP,asdfg,2024-06-04,Call,22.7,5.7,,,,,APP,24,CLOSED,True,,,,04-06-2024 10:49:00 AM,0:00,uploads/,Naharpur,Rohini Zone,R-Cluster 2,Yamuna,9999999999,yamuna@gmail.com,,
9,87,4253,QR Code is not working,03-06-2024 10:47:00 PM,COMP/0000000065,jhgfds,Waheed Nagar,SCTP,qsdfgh,2024-06-03,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 10:47:00 PM,0:00,uploads/,Naharpur,Rohini Zone,R-Cluster 2,Ramky,6666666666,ramky@re.com,,
10,87,4243,QR Code is not working,03-06-2024 07:01:00 PM,COMP/0000000057,lkjhg,Waheed Nagar,SCTP,sxdcfghj,2024-06-03,Letter,22.7,5.7,,,,,APP,24,CLOSED,True,,,,03-06-2024 07:01:00 PM,0:00,uploads/,Naharpur,Rohini Zone,R-Cluster 2,RESL,9999999999,reee@resus.com,,
